time (UTC),"UTCI (34.5˚N, 135.5˚E)","UTCI (34.75˚N, 135.25˚E)","UTCI (34.5˚N, 135.25˚E)","UTCI (34.25˚N, 135.25˚E)","UTCI (34.75˚N, 135.5˚E)","UTCI (34.25˚N, 135.5˚E)","UTCI (34.75˚N, 135.75˚E)","UTCI (34.5˚N, 135.75˚E)","UTCI (34.25˚N, 135.75˚E)"
2007-08-20T00:00:00.0,37.104645,35.40222,34.508057,35.13205,35.972107,34.67917,37.23581,36.47574,32.721832
2007-08-20T01:00:00.0,37.512146,35.593384,33.681976,34.603333,36.33786,35.066498,38.236908,37.074768,33.13394
2007-08-20T02:00:00.0,38.13025,35.756287,33.225098,34.30542,36.971313,35.337128,39.094574,37.676605,33.184265
2007-08-20T03:00:00.0,38.222107,35.632935,32.48996,34.207764,37.03708,35.55963,39.127167,37.94815,33.70346
2007-08-20T04:00:00.0,38.106262,35.183197,31.961975,34.519867,36.840485,35.7955,39.727814,38.27661,33.94226
2007-08-20T05:00:00.0,38.35968,35.73294,32.7966,34.032135,36.996277,35.82425,39.660645,38.258636,33.951233
2007-08-20T06:00:00.0,37.89435,35.838806,33.892883,33.791595,36.269287,35.15973,38.351135,36.54236,33.288757
2007-08-20T07:00:00.0,36.691315,35.160797,34.55371,33.65042,34.97519,34.035004,36.51825,35.642365,31.608704
2007-08-20T08:00:00.0,35.7081,35.16211,34.218414,31.72992,35.094513,32.233368,35.25992,34.07428,30.35498
2007-08-20T09:00:00.0,33.142975,33.533142,31.193695,29.971954,33.667267,30.382782,34.011627,32.3519,28.894073
2007-08-20T10:00:00.0,29.066315,30.232239,27.320618,27.287018,30.12027,27.07306,30.472382,28.25,24.930573
2007-08-20T11:00:00.0,27.69342,29.258026,25.90863,25.688416,29.04425,25.262299,28.493408,26.177155,22.947235
2007-08-20T12:00:00.0,27.6138,28.97882,25.803864,25.553345,28.966736,24.9068,28.124115,25.894745,22.5542
2007-08-20T13:00:00.0,27.277466,28.582367,25.736267,25.389313,28.688782,24.385101,27.534943,25.575073,22.084717
2007-08-20T14:00:00.0,26.716187,28.194305,25.795532,25.247925,28.30777,23.723724,27.026825,25.013641,21.408691
2007-08-20T15:00:00.0,26.365845,28.161163,26.210144,25.302643,27.95752,23.254639,26.861847,24.62024,20.7453
2007-08-20T16:00:00.0,26.108795,28.334137,26.70462,25.380402,27.88385,22.868744,26.999084,24.291504,20.26944
2007-08-20T17:00:00.0,25.735168,28.242126,26.911041,25.60083,27.728333,22.603882,25.871735,23.710175,19.931244
2007-08-20T18:00:00.0,25.852722,28.180817,27.212067,26.233246,27.935425,22.708527,25.871124,23.616882,19.427765
2007-08-20T19:00:00.0,26.347443,27.900177,27.198425,26.18982,27.751434,23.408752,25.912842,23.912354,19.965424
