time (UTC),"UTCI (40.0˚N, 116.5˚E)","UTCI (40.25˚N, 116.25˚E)","UTCI (40.0˚N, 116.25˚E)","UTCI (39.75˚N, 116.25˚E)","UTCI (40.25˚N, 116.5˚E)","UTCI (39.75˚N, 116.5˚E)","UTCI (40.25˚N, 116.75˚E)","UTCI (40.0˚N, 116.75˚E)","UTCI (39.75˚N, 116.75˚E)"
2008-08-10T00:00:00.0,26.913116,24.350037,26.270538,28.08487,24.359009,28.903778,24.304047,26.31186,28.03595
2008-08-10T01:00:00.0,27.338837,24.3591,26.532104,28.814453,24.04831,30.107727,23.886536,27.077606,29.764679
2008-08-10T02:00:00.0,29.8508,25.748962,28.8768,31.504852,25.421722,33.790466,25.126984,29.39801,33.335632
2008-08-10T03:00:00.0,32.047638,26.372223,30.98413,34.32257,26.511475,36.437775,26.54187,31.32428,35.507965
2008-08-10T04:00:00.0,33.59668,28.96997,32.47635,35.422516,29.765137,37.62729,29.51294,32.733246,36.56479
2008-08-10T05:00:00.0,33.966583,28.621185,32.541473,35.89322,29.202454,38.608795,29.526215,33.561646,37.36673
2008-08-10T06:00:00.0,33.984253,28.336182,32.011658,33.89505,30.254578,36.95398,31.809814,33.916718,36.389435
2008-08-10T07:00:00.0,34.80832,28.446991,32.169464,33.055817,31.36789,35.493378,32.877106,35.718384,35.00186
2008-08-10T08:00:00.0,32.96927,27.403564,30.7919,31.408997,29.879242,33.885223,31.315613,34.06665,33.642517
2008-08-10T09:00:00.0,31.601166,24.951935,29.616058,32.065125,27.273132,34.598206,29.015015,32.571777,34.752625
2008-08-10T10:00:00.0,30.42038,24.92575,28.738373,30.552155,27.34076,32.403473,28.559143,30.872131,32.884827
2008-08-10T11:00:00.0,28.295715,23.668396,27.511353,28.945923,26.075226,29.619965,26.879272,27.661194,29.317688
2008-08-10T12:00:00.0,26.597168,23.058868,25.523804,25.730804,25.086853,26.811096,25.608093,25.869598,25.961578
2008-08-10T13:00:00.0,26.098907,22.77539,24.998993,25.463257,24.419556,26.02185,24.900848,25.542114,25.336517
2008-08-10T14:00:00.0,25.991302,22.313843,24.978973,25.143494,24.14972,25.531525,24.960266,25.233643,24.474426
2008-08-10T15:00:00.0,25.103668,21.964447,24.767426,24.911255,23.685669,25.283844,24.451477,23.841766,23.543304
2008-08-10T16:00:00.0,23.993622,21.76538,23.55783,24.314728,23.136505,24.926727,23.52118,23.221497,23.776001
2008-08-10T17:00:00.0,23.875061,21.79007,23.630829,24.112793,22.908844,24.318542,23.259491,23.018433,23.065979
2008-08-10T18:00:00.0,23.55661,21.772278,23.463318,23.545807,22.570404,23.562927,22.744598,22.363739,22.01355
2008-08-10T19:00:00.0,23.093689,21.393555,21.949982,21.15866,22.818695,21.340363,23.918243,23.69049,21.83078
2008-08-10T20:00:00.0,22.936707,21.386261,22.081055,20.484924,22.72342,21.05066,23.584534,22.902557,21.329132
2008-08-10T21:00:00.0,23.235504,21.62146,22.62799,21.362823,22.741974,21.569489,23.417511,23.04895,21.485687
2008-08-10T22:00:00.0,23.743317,21.768494,22.999237,21.66858,22.832397,21.87445,23.561829,23.461151,21.53183
2008-08-10T23:00:00.0,24.288391,22.42868,23.236328,22.31424,23.609009,22.678894,24.17572,24.403076,22.327698
2008-08-11T00:00:00.0,24.622711,22.240845,23.3172,23.043457,23.74643,23.570312,24.645569,25.089783,23.728973
2008-08-11T01:00:00.0,25.200104,22.633911,24.051147,24.177551,24.025208,24.396454,25.32016,25.872894,24.882202
2008-08-11T02:00:00.0,26.519592,25.315155,25.892456,25.059174,26.236786,25.42749,27.115479,26.977692,26.294312
2008-08-11T03:00:00.0,26.856384,26.353638,27.309143,26.65152,26.264618,26.476257,26.85379,26.723755,26.193756
2008-08-11T04:00:00.0,27.310333,27.404633,27.755371,26.487854,26.91629,26.895447,27.105438,27.132782,26.311676
2008-08-11T05:00:00.0,26.518646,26.604553,26.668243,25.898102,26.065338,26.14331,26.754883,26.90628,26.227448
2008-08-11T06:00:00.0,27.856506,28.630066,27.963531,26.982117,28.151184,27.015686,28.33783,27.49591,27.113586
2008-08-11T07:00:00.0,30.185638,28.814148,29.72284,31.02893,28.633118,30.35315,28.068207,29.753357,30.684448
2008-08-11T08:00:00.0,28.726807,28.348236,29.038544,29.643951,27.561646,28.309082,26.984283,28.534698,27.806732
2008-08-11T09:00:00.0,27.015198,26.505524,27.993317,27.850342,25.800446,26.155396,25.90097,26.333527,25.06961
2008-08-11T10:00:00.0,26.61087,26.210144,27.594086,27.086975,25.376038,26.176178,24.936981,25.366943,25.248535
2008-08-11T11:00:00.0,25.080414,24.367004,25.402893,24.76175,24.39038,24.581543,24.157074,24.027252,24.187042
2008-08-11T12:00:00.0,23.862793,21.944977,22.64328,21.98819,23.055267,22.351685,23.67862,24.311096,22.916412
2008-08-11T13:00:00.0,23.988647,21.92804,22.654541,22.145355,23.065002,22.668976,23.815796,24.448578,23.338684
2008-08-11T14:00:00.0,23.273315,22.214294,22.426453,22.095703,23.09079,22.215057,23.884888,23.674011,22.707306
2008-08-11T15:00:00.0,23.525574,22.342499,22.55838,22.251007,23.027863,22.323517,23.708496,24.092773,22.881042
2008-08-11T16:00:00.0,23.789764,21.698792,22.473267,22.09372,22.956757,22.360626,23.929535,24.466766,23.29956
2008-08-11T17:00:00.0,24.314392,22.005981,22.914429,22.173553,23.277618,22.716888,24.2164,24.781921,23.63559
2008-08-11T18:00:00.0,24.306885,21.681305,22.46878,22.20282,23.114502,22.7482,24.322601,24.855194,23.296814
