time (UTC),"UTCI (35.75˚N, 128.75˚E)","UTCI (36.0˚N, 128.5˚E)","UTCI (35.75˚N, 128.5˚E)","UTCI (35.5˚N, 128.5˚E)","UTCI (36.0˚N, 128.75˚E)","UTCI (35.5˚N, 128.75˚E)","UTCI (36.0˚N, 129.0˚E)","UTCI (35.75˚N, 129.0˚E)","UTCI (35.5˚N, 129.0˚E)"
2011-08-22T00:00:00.0,23.532013,23.53769,23.00708,22.903564,24.141663,23.55716,23.951935,22.939117,23.204956
2011-08-22T01:00:00.0,25.143097,25.417755,24.59024,23.703827,25.864258,24.49646,24.661102,24.14273,23.988525
2011-08-22T02:00:00.0,24.81958,25.366028,24.655762,24.15799,25.266113,24.72696,23.38031,23.48648,23.97168
2011-08-22T03:00:00.0,24.24405,25.424835,24.233795,23.945068,24.503418,24.220978,22.78244,23.227814,23.458618
2011-08-22T04:00:00.0,24.168945,25.470276,24.089386,23.94522,24.962036,24.615173,22.89035,22.51123,23.298737
2011-08-22T05:00:00.0,24.147186,24.97461,24.17987,22.813873,24.708618,23.435883,22.445343,22.310852,22.573486
2011-08-22T06:00:00.0,24.021301,24.813232,24.11911,22.832,24.299866,23.962921,21.99591,22.340729,23.58432
2011-08-22T07:00:00.0,23.126556,24.600067,23.81247,22.84491,24.076416,22.863373,22.277344,21.52414,22.233124
2011-08-22T08:00:00.0,23.62088,24.566315,24.045502,22.56018,23.958832,22.842499,22.230286,21.824707,22.172546
2011-08-22T09:00:00.0,23.464417,25.988037,24.715942,22.913116,24.355682,22.526794,21.738739,21.08905,21.384338
2011-08-22T10:00:00.0,22.605957,23.799072,22.958862,22.272705,23.324097,22.094452,21.374939,20.606781,21.01419
2011-08-22T11:00:00.0,20.073975,18.058807,19.464844,19.68451,19.055267,20.187134,19.407623,19.61679,20.046448
2011-08-22T12:00:00.0,19.547974,17.38684,18.418427,18.812378,18.365417,19.755432,19.00821,19.63559,20.131317
2011-08-22T13:00:00.0,19.212006,18.160706,17.907227,18.131592,18.695251,19.209503,18.743225,19.773132,19.932465
2011-08-22T14:00:00.0,18.648651,17.78415,17.960815,18.261688,17.836243,19.031586,17.719208,19.242462,19.673615
2011-08-22T15:00:00.0,17.740265,17.550446,17.475372,17.71875,16.88919,18.315643,15.673035,18.074799,18.954132
2011-08-22T16:00:00.0,17.148163,16.626678,16.712585,16.667053,16.716522,17.700806,16.288452,17.509644,18.726562
2011-08-22T17:00:00.0,17.075134,18.433746,16.794891,16.14624,17.906494,16.758911,16.497711,17.153107,17.484314
2011-08-22T18:00:00.0,16.873138,18.349396,16.804047,16.314728,17.410553,16.883942,16.640778,17.034546,17.56665
2011-08-22T19:00:00.0,16.4776,13.973755,15.487335,15.847076,15.197205,16.546509,16.00299,16.728882,17.221863
2011-08-22T20:00:00.0,16.08902,14.054321,15.0355835,15.585022,15.066437,16.42456,15.610321,16.44342,17.128479
2011-08-22T21:00:00.0,15.462677,16.144562,14.988373,14.92569,15.925903,15.815765,15.137329,15.605377,16.559113
2011-08-22T22:00:00.0,17.243042,18.903809,17.356293,16.828857,18.369263,17.448395,17.553131,17.107727,18.002197
2011-08-22T23:00:00.0,21.385193,22.325989,21.09262,20.698303,22.254791,21.556183,21.656586,21.431427,21.808502
2011-08-23T00:00:00.0,24.281952,24.801666,23.697388,22.612549,25.121918,24.24945,23.737091,23.319763,23.79477
2011-08-23T01:00:00.0,25.723999,26.7323,25.532745,24.51596,26.454102,25.42273,23.408295,23.557037,24.00595
2011-08-23T02:00:00.0,25.249268,26.498322,25.844177,25.408386,25.60498,25.39038,23.555695,23.76596,24.112762
2011-08-23T03:00:00.0,24.307861,24.432709,23.479584,25.088043,24.495453,25.865051,23.143768,23.566193,24.803528
