time (UTC),"UTCI (60.25˚N, 25.0˚E)","UTCI (60.5˚N, 24.75˚E)","UTCI (60.25˚N, 24.75˚E)","UTCI (60.0˚N, 24.75˚E)","UTCI (60.5˚N, 25.0˚E)","UTCI (60.0˚N, 25.0˚E)","UTCI (60.5˚N, 25.25˚E)","UTCI (60.25˚N, 25.25˚E)","UTCI (60.0˚N, 25.25˚E)"
2012-06-22T00:00:00.0,3.1403503,3.0709534,3.675476,-0.56152344,3.2574158,-0.38009644,3.5458374,2.4076843,-0.20916748
2012-06-22T01:00:00.0,2.4370117,2.2026978,2.9368896,-0.8527527,2.401245,-0.58947754,2.692566,1.747467,-0.32424927
2012-06-22T02:00:00.0,5.0307617,5.1980286,5.494873,1.4339905,5.464142,1.7924194,5.7618103,4.3616943,2.1328125
2012-06-22T03:00:00.0,8.613586,9.355774,9.102722,4.577545,9.439667,4.9846497,9.795044,7.942566,5.354767
2012-06-22T04:00:00.0,13.195679,14.4878235,13.582092,7.4453125,14.512024,7.8146667,14.88858,12.637909,8.142273
2012-06-22T05:00:00.0,16.829163,18.269745,17.16623,10.631622,18.338776,10.826874,18.661072,16.368225,10.970123
2012-06-22T06:00:00.0,19.602356,20.946045,19.852905,13.362366,21.041931,13.458862,21.289612,19.271423,13.528687
2012-06-22T07:00:00.0,21.658173,22.022156,21.765594,16.121277,22.2294,16.10321,22.645172,21.497894,16.056458
2012-06-22T08:00:00.0,22.148987,22.207703,22.243408,17.044708,22.423828,16.857239,22.91272,22.028137,16.635742
2012-06-22T09:00:00.0,22.66092,22.731628,22.897308,17.322906,22.949463,16.987885,23.457214,22.399078,16.571594
2012-06-22T10:00:00.0,23.374786,23.695465,23.772583,16.778381,23.941467,16.582947,24.440887,22.927155,16.312408
2012-06-22T11:00:00.0,23.663574,24.562012,24.258575,15.898163,24.868073,15.867554,25.34378,22.971252,15.792633
2012-06-22T12:00:00.0,23.576874,25.341309,24.306213,15.117767,25.591095,15.219055,26.04773,22.738586,15.306
2012-06-22T13:00:00.0,23.601501,25.790863,24.402863,14.498749,26.047394,14.787018,26.419067,22.666412,15.133789
2012-06-22T14:00:00.0,23.412842,25.796356,24.173859,13.87796,25.999573,14.526672,26.324188,22.527618,15.240326
2012-06-22T15:00:00.0,22.706085,24.81604,23.235992,13.320099,25.023926,14.191589,25.421173,22.090271,15.13562
2012-06-22T16:00:00.0,22.000397,24.496246,22.410553,13.01709,24.515106,13.926727,24.752045,21.477936,14.909119
2012-06-22T17:00:00.0,20.852356,23.473907,21.311523,12.084198,23.457245,12.78537,23.527832,20.289642,13.57486
2012-06-22T18:00:00.0,19.299896,21.39981,19.756165,10.429047,21.169922,10.834259,21.17694,18.713837,11.263214
