time (UTC),"UTCI (51.5˚N, 0.0˚E)","UTCI (51.75˚N, -0.25˚E)","UTCI (51.5˚N, -0.25˚E)","UTCI (51.25˚N, -0.25˚E)","UTCI (51.75˚N, 0.0˚E)","UTCI (51.25˚N, 0.0˚E)","UTCI (51.75˚N, 0.25˚E)","UTCI (51.5˚N, 0.25˚E)","UTCI (51.25˚N, 0.25˚E)"
2012-07-29T00:00:00.0,3.998108,3.3179626,3.8073425,3.772644,3.1379395,3.6973572,3.009674,3.6036987,3.6654053
2012-07-29T01:00:00.0,3.1369324,2.4761353,3.1336975,3.0415955,2.0758667,2.7665405,1.9358215,2.4601746,2.513916
2012-07-29T02:00:00.0,2.8152466,2.0230103,2.693756,2.5180664,1.8243103,2.2878113,1.6484375,2.2068176,2.0637817
2012-07-29T03:00:00.0,2.4359741,1.3899231,1.9558411,1.829071,1.5080872,1.8235168,1.7167664,2.1863708,1.873352
2012-07-29T04:00:00.0,2.1722412,1.2050781,1.8576355,1.8529358,1.1894531,1.6969299,1.3364258,1.8807983,1.7097473
2012-07-29T05:00:00.0,3.8413086,2.697998,3.4179382,3.560608,2.6488647,3.5757446,2.8110046,3.552124,3.606079
2012-07-29T06:00:00.0,10.059265,9.022461,9.539154,9.755524,9.143524,9.890015,9.202972,9.542999,9.826447
2012-07-29T07:00:00.0,11.737701,8.820984,11.293091,12.34729,9.042847,12.797577,9.782288,11.789825,13.166046
2012-07-29T08:00:00.0,14.984802,12.573883,13.737946,15.058502,13.453339,15.835083,13.3172,14.470032,15.544891
2012-07-29T09:00:00.0,16.69751,15.963348,16.79361,17.600433,16.083649,16.909546,15.619751,16.170288,16.055603
2012-07-29T10:00:00.0,17.683472,17.36493,18.115417,18.662628,17.204956,18.144989,16.69165,17.22116,17.47647
2012-07-29T11:00:00.0,19.533539,18.88501,19.558807,18.744171,18.370483,19.16806,17.595612,18.53122,18.456024
2012-07-29T12:00:00.0,15.9791565,18.96817,15.207764,13.392395,19.427338,14.039703,19.73941,17.571716,15.300873
2012-07-29T13:00:00.0,13.874512,15.260895,14.893616,15.115692,14.0937805,14.375488,14.939026,13.513031,14.297699
2012-07-29T14:00:00.0,10.900818,14.091064,12.8480835,13.424133,12.236542,11.277618,12.12735,11.979553,12.130707
2012-07-29T15:00:00.0,16.360413,17.621399,15.662598,14.48587,16.825531,15.465607,15.587006,16.100555,15.392975
2012-07-29T16:00:00.0,12.194946,12.976074,11.622711,12.264801,13.545898,12.364471,13.755676,13.090454,12.894714
2012-07-29T17:00:00.0,11.354584,12.0295105,11.79361,12.253998,11.600006,12.001282,11.582703,11.025879,11.822693
2012-07-29T18:00:00.0,12.456665,10.850403,11.947754,12.672668,10.671448,12.868225,10.758301,11.720642,12.010742
2012-07-29T19:00:00.0,13.637482,11.496368,13.450226,12.98465,10.796265,13.136017,9.997681,11.835144,12.484772
2012-07-29T20:00:00.0,11.548065,8.715881,10.620605,10.552032,8.586914,11.325348,8.318848,10.020386,10.492279
2012-07-29T21:00:00.0,7.393463,4.1503296,5.7333374,5.9645996,4.8349,7.3397217,5.0061646,6.8224487,7.2313232
2012-07-29T22:00:00.0,4.7910767,2.4804688,3.7835083,3.6495972,3.031128,4.3538513,3.3773499,4.7429504,4.7693176
2012-07-29T23:00:00.0,2.7217712,1.2116699,2.27948,2.403656,1.0995178,2.5465088,1.5452881,2.6304932,2.578827
2012-07-30T00:00:00.0,2.0082703,0.5516968,1.5815735,1.4721985,0.40829468,1.4681702,0.85510254,1.8240662,1.4393005
2012-07-30T01:00:00.0,1.8699341,0.5480652,1.5158081,1.2710266,0.4260254,1.16156,0.6385498,1.4219055,0.9852295
2012-07-30T02:00:00.0,2.090454,0.80792236,1.7878418,1.3493958,0.62875366,1.2320251,0.84524536,1.4695129,0.86932373
2012-07-30T03:00:00.0,1.515625,0.062561035,1.046875,0.82547,0.023254395,0.83013916,0.3611145,1.1168823,0.59506226
2012-07-30T04:00:00.0,1.6599121,-0.028869629,0.95684814,1.0338135,0.018371582,1.1741333,0.455719,1.3079224,1.0028076
2012-07-30T05:00:00.0,2.992035,0.946167,2.253418,2.3280945,1.1455688,2.6441956,1.654541,2.7677917,2.5887756
2012-07-30T06:00:00.0,8.605316,6.3305054,7.938629,8.227386,6.4776,8.606476,7.0579224,8.537628,8.69165
2012-07-30T07:00:00.0,12.983246,11.26059,12.690002,13.3255005,11.266083,13.705017,11.423859,12.54129,13.823151
2012-07-30T08:00:00.0,13.608887,12.880737,13.419434,14.616028,12.7378235,14.614044,13.154449,13.949951,14.963257
2012-07-30T09:00:00.0,15.050049,15.125824,14.733154,16.322235,15.555817,16.802765,15.816925,15.222229,16.883636
