time (UTC),"UTCI (55.75˚N, 37.5˚E)","UTCI (56.0˚N, 37.25˚E)","UTCI (55.75˚N, 37.25˚E)","UTCI (55.5˚N, 37.25˚E)","UTCI (56.0˚N, 37.5˚E)","UTCI (55.5˚N, 37.5˚E)","UTCI (56.0˚N, 37.75˚E)","UTCI (55.75˚N, 37.75˚E)","UTCI (55.5˚N, 37.75˚E)"
2013-08-05T00:00:00.0,11.744965,11.317902,11.54599,11.641998,11.53421,11.754639,11.863373,12.107513,12.084473
2013-08-05T01:00:00.0,12.123383,11.567322,11.90036,11.975769,11.853943,12.127075,12.199341,12.413208,12.425995
2013-08-05T02:00:00.0,12.126373,11.881531,12.072235,12.089478,12.049896,12.119751,12.153656,12.18985,12.283478
2013-08-05T03:00:00.0,12.2099,11.3377075,12.33255,12.282837,11.267029,12.220551,11.972687,12.741608,12.692108
2013-08-05T04:00:00.0,12.865692,12.375458,12.401093,12.688751,12.58905,13.393188,13.128265,13.913971,14.304108
2013-08-05T05:00:00.0,14.535858,14.094391,13.913452,14.272766,14.790985,15.060699,15.865601,15.416565,15.528992
2013-08-05T06:00:00.0,14.420624,15.954193,14.678772,14.059387,16.67923,13.673096,17.206116,15.046539,14.360626
2013-08-05T07:00:00.0,17.513916,16.92627,17.138489,16.134491,17.632538,16.367493,17.983246,17.60962,16.937134
2013-08-05T08:00:00.0,18.41388,18.201355,18.394012,18.494934,18.373962,18.573334,18.849396,18.401703,18.448883
2013-08-05T09:00:00.0,19.381836,19.563904,19.33606,20.220032,19.823334,20.0206,20.045166,19.509338,19.605713
2013-08-05T10:00:00.0,22.621735,22.399597,22.605194,22.622437,22.542145,22.532501,23.029602,22.955627,22.524597
2013-08-05T11:00:00.0,24.577362,24.254578,24.796204,25.034058,24.419556,24.90683,24.78482,24.620667,24.577423
2013-08-05T12:00:00.0,25.620605,25.234406,25.922913,25.903748,25.373474,25.727997,25.55716,25.44217,25.4906
2013-08-05T13:00:00.0,25.71524,25.207275,25.928192,25.74347,25.30014,25.617767,25.67511,25.750946,25.441956
2013-08-05T14:00:00.0,24.73529,24.70465,24.849213,24.689117,24.789429,24.489044,25.079926,25.223999,24.611206
2013-08-05T15:00:00.0,23.291779,23.502533,23.711487,23.576447,23.389893,23.32071,23.741364,22.948334,22.76117
2013-08-05T16:00:00.0,22.545288,22.75354,22.842407,22.200745,22.916779,21.417664,22.454224,21.78949,20.454193
2013-08-05T17:00:00.0,19.614258,19.596985,19.495056,19.02246,19.68103,18.890503,19.404388,19.151306,18.26294
2013-08-05T18:00:00.0,16.947693,16.587402,16.74179,16.109955,16.772003,16.119537,16.743713,16.598602,15.816498
2013-08-05T19:00:00.0,16.521545,16.43811,16.892395,15.828003,16.319427,15.424194,15.31543,15.367798,14.89505
2013-08-05T20:00:00.0,14.432343,15.270416,15.271973,15.021088,14.77359,14.276703,14.037079,13.574951,13.935242
2013-08-05T21:00:00.0,14.134338,15.544891,14.69278,14.276825,15.213043,13.758972,14.535919,13.720398,13.981232
2013-08-05T22:00:00.0,14.632935,15.188629,15.208435,14.797699,14.647369,14.305054,13.923157,14.045502,14.270874
2013-08-05T23:00:00.0,13.775116,13.804382,14.161652,14.630707,13.442902,14.119324,13.031311,13.372589,13.9826355
2013-08-06T00:00:00.0,13.121368,13.373077,13.475983,13.579773,13.082581,13.107849,12.794189,12.825256,13.063416
2013-08-06T01:00:00.0,12.7969055,13.121582,13.041321,13.014557,12.865723,12.6397705,12.623322,12.595032,12.690857
2013-08-06T02:00:00.0,12.448822,12.736267,12.590515,12.580414,12.562134,12.2630005,12.386658,12.348267,12.317322
2013-08-06T03:00:00.0,15.582855,15.619141,15.687714,15.588318,15.588348,15.437866,15.670746,15.664856,15.563171
2013-08-06T04:00:00.0,18.23404,18.07663,18.638702,18.219147,18.017822,18.01886,18.45871,18.828308,18.630402
2013-08-06T05:00:00.0,21.585602,22.02893,21.778076,21.312225,21.838104,21.495667,21.934631,21.822052,21.670135
2013-08-06T06:00:00.0,24.70755,24.792816,24.87381,24.70163,24.699615,24.639221,24.887604,25.098358,24.814484
2013-08-06T07:00:00.0,25.480682,25.816101,25.868011,25.65866,25.404175,25.452057,25.24643,25.592499,25.680878
2013-08-06T08:00:00.0,27.695038,28.074127,27.994385,27.842773,27.938904,27.59378,27.783539,27.720215,27.71399
2013-08-06T09:00:00.0,29.593445,29.416718,29.82602,29.7984,29.37323,29.66391,29.156097,29.47287,29.567871
2013-08-06T10:00:00.0,29.77417,29.157013,29.62503,29.946014,29.478363,29.937836,29.814789,30.019684,29.993195
2013-08-06T11:00:00.0,28.987213,27.978271,28.496674,29.069824,28.513947,29.48758,29.32074,29.714783,30.03653
2013-08-06T12:00:00.0,28.374603,28.12149,28.341644,28.837463,27.993805,29.142426,28.429657,29.067139,29.628693
2013-08-06T13:00:00.0,28.703247,28.73346,29.10202,28.516937,28.469116,28.27118,27.391693,28.011566,28.31366
2013-08-06T14:00:00.0,25.806091,24.505768,27.332428,27.921112,23.552917,26.778473,22.84851,24.693848,25.769012
2013-08-06T15:00:00.0,22.531769,23.31131,22.863312,23.992126,22.85727,23.172577,22.322632,22.270782,22.518494
2013-08-06T16:00:00.0,19.563324,20.04657,19.77179,19.707916,19.839966,19.844635,19.942291,19.840729,20.116821
2013-08-06T17:00:00.0,19.25473,19.144196,19.45755,19.340118,19.22351,19.01831,18.918213,19.122314,19.086456
2013-08-06T18:00:00.0,17.06839,16.83841,17.01413,17.674591,17.053162,17.616394,17.32254,17.344696,17.641815
2013-08-06T19:00:00.0,16.823608,17.006165,17.208313,17.481995,16.714996,17.178284,16.762604,16.829315,17.227081
2013-08-06T20:00:00.0,16.15155,16.312836,16.456787,16.62082,16.053162,16.325317,16.084595,16.21634,16.450348
2013-08-06T21:00:00.0,15.810699,16.069702,15.972443,16.050629,15.911957,15.870209,16.047363,16.0177,16.057983
2013-08-06T22:00:00.0,15.546753,15.619812,15.727173,15.728943,15.4470215,15.519928,15.555634,15.683624,15.739563
2013-08-06T23:00:00.0,15.595764,15.582153,15.791199,15.68811,15.404968,15.552887,15.463715,15.619354,15.767487
2013-08-07T00:00:00.0,15.149719,14.98114,15.208466,15.221771,14.936798,15.136505,15.075104,15.325043,15.416168
2013-08-07T01:00:00.0,14.827087,14.751129,14.921692,15.149048,14.59845,15.023468,14.768738,15.044342,15.286926
2013-08-07T02:00:00.0,14.206665,14.273987,14.250488,14.450897,14.168701,14.344391,14.35083,14.503723,14.749695
