time (UTC),"UTCI (47.5˚N, 8.5˚E)","UTCI (47.75˚N, 8.25˚E)","UTCI (47.5˚N, 8.25˚E)","UTCI (47.25˚N, 8.25˚E)","UTCI (47.75˚N, 8.5˚E)","UTCI (47.25˚N, 8.5˚E)","UTCI (47.75˚N, 8.75˚E)","UTCI (47.5˚N, 8.75˚E)","UTCI (47.25˚N, 8.75˚E)"
2014-08-07T00:00:00.0,16.252869,15.882996,15.882996,16.539398,16.252869,17.824951,16.376343,16.376343,16.859375
2014-08-07T01:00:00.0,16.532501,15.987976,15.987976,15.339264,16.532501,16.637909,16.300537,16.300537,16.563599
2014-08-07T02:00:00.0,14.157715,14.582062,14.582062,14.843842,14.157715,16.09671,14.937256,14.937256,14.449127
2014-08-07T03:00:00.0,14.311005,14.454559,14.454559,14.959717,14.311005,16.38507,14.020142,14.020142,14.913452
2014-08-07T04:00:00.0,13.411316,13.294769,13.294769,13.733307,13.411316,15.076324,13.19339,13.19339,14.098602
2014-08-07T05:00:00.0,15.987488,15.600647,15.600647,15.533417,15.987488,17.617676,16.441772,16.441772,16.494263
2014-08-07T06:00:00.0,19.57605,19.502014,19.502014,20.1792,19.57605,21.953918,19.765015,19.765015,20.51883
2014-08-07T07:00:00.0,22.304108,22.46875,22.46875,22.563354,22.304108,22.061584,21.95459,21.95459,19.990997
2014-08-07T08:00:00.0,26.135925,25.815216,25.815216,26.67453,26.135925,26.814697,25.826324,25.826324,25.870667
2014-08-07T09:00:00.0,26.822784,26.316467,26.316467,27.901398,26.822784,28.13861,26.807129,26.807129,26.884674
2014-08-07T10:00:00.0,26.927399,26.95221,26.95221,29.636688,26.927399,29.813751,26.78244,26.78244,27.917511
2014-08-07T11:00:00.0,27.527802,26.098267,26.098267,28.355011,27.527802,29.498505,27.404541,27.404541,27.943085
2014-08-07T12:00:00.0,27.839783,26.39206,26.39206,28.270569,27.839783,29.033142,28.059723,28.059723,27.399872
2014-08-07T13:00:00.0,27.539764,26.435822,26.435822,28.218262,27.539764,29.044708,27.56192,27.56192,27.134186
2014-08-07T14:00:00.0,28.167114,27.24707,27.24707,28.210236,28.167114,28.980804,28.10971,28.10971,26.911072
2014-08-07T15:00:00.0,28.281372,26.849915,26.849915,27.965332,28.281372,28.94815,28.371094,28.371094,27.792511
2014-08-07T16:00:00.0,28.978455,27.72937,27.72937,27.997314,28.978455,28.793457,28.238922,28.238922,27.309296
