time (UTC),"UTCI (-23.0˚N, -43.25˚E)","UTCI (-22.75˚N, -43.5˚E)","UTCI (-23.0˚N, -43.5˚E)","UTCI (-23.25˚N, -43.5˚E)","UTCI (-22.75˚N, -43.25˚E)","UTCI (-23.25˚N, -43.25˚E)","UTCI (-22.75˚N, -43.0˚E)","UTCI (-23.0˚N, -43.0˚E)","UTCI (-23.25˚N, -43.0˚E)"
2016-08-07T00:00:00.0,18.674591,17.732819,18.65799,17.78598,17.46347,17.082367,17.0141,19.473999,16.569305
2016-08-07T01:00:00.0,18.250214,16.619293,18.236511,17.383636,16.364075,16.778107,15.831696,18.468567,16.396423
2016-08-07T02:00:00.0,17.897217,15.722382,17.75003,16.838135,15.539307,16.489044,15.113373,17.540253,16.381744
2016-08-07T03:00:00.0,17.41034,14.962036,17.063324,16.427124,14.716278,16.109009,14.414581,17.059265,16.255981
2016-08-07T04:00:00.0,16.731628,14.259369,16.245667,15.9149475,13.982239,15.623749,13.746277,16.813507,15.975037
2016-08-07T05:00:00.0,16.080933,13.7344055,15.5260315,15.176758,13.468628,14.975189,13.20108,16.322754,15.610046
2016-08-07T06:00:00.0,15.50882,13.180176,14.903198,14.413879,12.927948,14.264648,12.690613,15.145477,15.059418
2016-08-07T07:00:00.0,14.934479,12.601044,14.496643,14.074524,12.357117,13.831207,12.143219,14.7343445,14.683136
2016-08-07T08:00:00.0,14.510529,12.191376,13.978363,13.712067,11.991119,13.367371,11.6987,14.604523,14.253418
2016-08-07T09:00:00.0,14.147308,11.923431,13.522614,13.303162,11.842285,12.923828,11.571533,14.477478,13.813385
2016-08-07T10:00:00.0,15.709534,13.585999,14.888824,14.287384,13.719086,14.051575,13.670776,17.535767,14.966797
2016-08-07T11:00:00.0,22.35852,20.8031,21.655243,18.783905,21.082825,18.585266,21.163635,23.427795,19.155853
2016-08-07T12:00:00.0,27.727783,26.217926,27.052582,21.355865,26.887024,21.440918,27.645142,28.313019,21.660492
2016-08-07T13:00:00.0,30.846405,29.896118,30.237305,23.10431,30.230377,23.242584,31.148132,30.693787,23.248016
2016-08-07T14:00:00.0,32.602783,31.981049,32.052795,24.039001,32.450836,24.238983,33.523926,32.281555,24.258636
2016-08-07T15:00:00.0,33.959198,33.373535,32.8692,25.78543,33.49231,25.201538,34.43814,33.481995,24.912079
2016-08-07T16:00:00.0,35.468384,34.70041,33.539,20.899078,34.12433,22.699951,34.600098,34.720184,24.645386
2016-08-07T17:00:00.0,31.691162,34.18051,27.902954,19.278809,34.991577,19.372162,35.07843,33.76529,20.261688
2016-08-07T18:00:00.0,26.270782,29.478088,24.758728,19.442902,30.519165,19.085297,32.095093,27.509186,19.13974
