time (UTC),"UTCI (52.5˚N, 13.25˚E)","UTCI (52.75˚N, 13.0˚E)","UTCI (52.5˚N, 13.0˚E)","UTCI (52.25˚N, 13.0˚E)","UTCI (52.75˚N, 13.25˚E)","UTCI (52.25˚N, 13.25˚E)","UTCI (52.75˚N, 13.5˚E)","UTCI (52.5˚N, 13.5˚E)","UTCI (52.25˚N, 13.5˚E)"
2018-08-01T00:00:00.0,22.767273,23.492981,22.34488,21.96936,23.191132,22.364868,22.51233,22.862335,22.535278
2018-08-01T01:00:00.0,23.409973,23.908844,24.413605,22.245514,23.716034,22.358887,22.188293,22.60254,22.325836
2018-08-01T02:00:00.0,21.500092,22.180328,21.872467,21.98056,21.963623,22.325653,20.587189,21.52472,22.319458
2018-08-01T03:00:00.0,21.224823,20.884277,21.710022,20.65268,20.983002,20.927002,20.216827,21.341888,21.433624
2018-08-01T04:00:00.0,21.640564,21.078857,21.2984,20.6221,21.629883,21.919037,20.932983,22.00467,22.541138
2018-08-01T05:00:00.0,26.29184,23.069427,23.620361,23.246552,24.966919,25.944946,26.845917,26.91397,26.811981
2018-08-01T06:00:00.0,28.043518,24.423187,24.69516,24.726013,26.94159,27.899872,30.07605,29.750122,29.393158
2018-08-01T07:00:00.0,30.051636,27.726013,27.795715,27.683594,29.276215,30.074677,31.105316,31.96933,31.917389
2018-08-01T08:00:00.0,30.826202,28.68045,28.631134,28.67627,30.099335,31.117554,31.956116,32.911682,33.09024
2018-08-01T09:00:00.0,31.56842,30.427032,29.33313,28.91977,31.855011,31.201294,33.55304,34.012634,33.74179
2018-08-01T10:00:00.0,33.058228,31.491974,31.286163,31.41861,32.865295,33.01819,34.353455,35.06659,34.97989
2018-08-01T11:00:00.0,35.595398,33.004303,34.11493,34.92206,33.979523,35.951538,35.12494,36.771515,36.892487
2018-08-01T12:00:00.0,37.47455,35.04651,35.981415,36.703583,35.924683,37.72119,36.678528,38.198822,38.158966
2018-08-01T13:00:00.0,38.231354,35.492706,36.75714,37.579254,36.199707,38.586487,36.75836,38.78366,38.877136
2018-08-01T14:00:00.0,38.400482,36.33139,37.426605,38.00009,36.782104,38.731995,37.064117,38.70407,38.957123
2018-08-01T15:00:00.0,37.68933,36.12021,36.95044,37.48871,36.21765,38.162872,35.992004,37.548615,38.417114
2018-08-01T16:00:00.0,33.02112,34.784485,34.40451,35.540985,34.261658,34.575287,33.45999,32.043365,33.62552
2018-08-01T17:00:00.0,31.62143,33.489746,32.49939,32.236664,33.080566,31.02829,32.344513,31.075928,30.082214
2018-08-01T18:00:00.0,30.515533,31.452576,31.199432,30.639008,30.967255,30.03415,29.980316,29.719269,29.41272
2018-08-01T19:00:00.0,26.95578,26.283203,27.020569,27.01361,26.23236,27.22995,25.700195,26.542603,27.120087
2018-08-01T20:00:00.0,24.284515,23.537354,24.575714,24.843079,23.395233,24.801666,22.671417,23.750366,24.57254
2018-08-01T21:00:00.0,23.149475,22.469574,23.502533,23.90628,22.238281,23.799072,21.40921,22.523163,23.509308
2018-08-01T22:00:00.0,21.85614,21.270538,22.360687,22.981293,20.929718,22.712708,20.190125,21.26062,22.444366
2018-08-01T23:00:00.0,20.926422,20.504547,21.398926,21.931946,20.187103,21.791351,19.572876,20.564209,21.829437
2018-08-02T00:00:00.0,20.10559,19.598175,20.636047,21.02707,19.24768,20.984467,18.728241,19.785614,21.172668
2018-08-02T01:00:00.0,19.46759,19.021606,19.85141,20.344604,18.7016,20.480164,18.337616,19.326447,20.807556
2018-08-02T02:00:00.0,19.306,19.028015,19.536926,19.81128,18.73285,20.089508,18.405426,19.22461,20.531067
2018-08-02T03:00:00.0,19.311127,18.588928,19.365967,19.60736,18.424866,19.927856,18.288269,19.244415,20.284576
2018-08-02T04:00:00.0,19.164948,18.386963,18.841217,18.950958,18.332,19.839478,18.26889,19.422394,20.540833
2018-08-02T05:00:00.0,20.573975,19.60373,20.300598,20.682983,19.762451,21.521027,19.933716,21.113007,22.548859
2018-08-02T06:00:00.0,23.496399,22.041626,22.9104,23.550446,22.304169,24.462128,22.57077,24.178436,25.495361
2018-08-02T07:00:00.0,22.172607,21.289642,21.537415,21.662628,21.984161,22.735168,22.631775,23.365997,24.299133
2018-08-02T08:00:00.0,23.019714,22.526978,22.191742,22.295135,23.263885,23.292175,23.8237,23.893616,24.206757
2018-08-02T09:00:00.0,24.244202,23.352509,24.194092,25.205414,23.427948,25.658417,23.497986,24.63736,26.205383
2018-08-02T10:00:00.0,26.887085,25.14917,26.916962,28.118835,24.488434,28.404907,24.223969,27.06961,28.571838
2018-08-02T11:00:00.0,26.858368,25.140533,25.818665,27.167511,25.158173,28.208923,25.707306,27.945526,29.258026
2018-08-02T12:00:00.0,29.440826,27.516907,28.584778,30.04361,27.384094,30.672699,27.57779,30.086517,31.325653
2018-08-02T13:00:00.0,31.03247,29.77298,30.55661,31.471344,29.383484,31.93634,29.078857,31.259583,32.355377
2018-08-02T14:00:00.0,32.28717,31.563354,31.97229,32.601654,30.894287,33.043182,29.946198,31.990265,33.130707
2018-08-02T15:00:00.0,31.520966,30.190521,30.732574,31.579681,29.961304,32.44629,29.677338,31.534515,32.69507
2018-08-02T16:00:00.0,28.913147,27.564758,28.285492,29.321503,27.199402,29.946808,27.117188,29.121582,30.3107
2018-08-02T17:00:00.0,28.28891,28.177704,28.164795,28.177185,27.801971,28.330994,27.317932,27.914032,28.319885
2018-08-02T18:00:00.0,26.675812,26.518799,26.993591,27.00821,25.949585,27.015656,25.39862,26.022736,26.765747
2018-08-02T19:00:00.0,23.891388,23.851105,24.541687,25.425842,22.752869,25.102722,21.536743,23.331085,24.911896
2018-08-02T20:00:00.0,20.690826,20.916473,21.248749,22.083862,19.85791,21.920502,18.62915,20.206207,21.858856
2018-08-02T21:00:00.0,19.252625,19.913696,20.018494,20.550629,18.804047,20.221588,17.52893,18.605988,20.025116
